,Company,Ticker
407,HEICO Common,HEI
408,Helmerich & Payne,HP
409,Jack Henry & Associates,JKHY
410,Herbalife Nutrition,HLF
411,Hershey Company,HSY
412,Hess Corporation,HES
413,Gardner Denver,GDI
414,Garmin,GRMN
415,Gartner,IT
416,Hilton Grand Vacations,HGV
417,Hilton Worldwide,HLT
418,HollyFrontier,HFC
419,Hologic,HOLX
420,Home Depot,HD
421,Honeywell International,HON
422,Hormel Foods,HRL
423,Host Hotels & Resorts,HST
424,Howard Hughes Corporation,HHC
425,HP Inc.,HPQ
426,Hubbell Incorporated,HUBB
427,Hudson Pacific Properties,HPP
428,Humana,HUM
429,Huntington Bancshares,HBAN
430,Huntington Ingalls Industries,HII
431,Huntsman Corporation,HUN
432,Hyatt Hotels,H
433,IAC,IAC
434,ICU Medical,ICUI
435,IDEX Corporation,IEX
436,Idexx Laboratories,IDXX
437,IHS Markit,INFO
438,Illinois Tool Works,ITW
439,Illumina,ILMN
440,Incyte,INCY
441,Ingersoll-Rand,IR
442,Ingredion,INGR
443,Insulet,PODD
444,Integra Lifesciences,IART
445,Intel,INTC
446,Interactive Brokers,IBKR
447,Intercontinental Exchange,ICE
448,International Game Technology,IGT
449,International Paper,IP
450,The Interpublic Group of Companies,IPG
451,IBM,IBM
452,International Flavors & Fragrances,IFF
453,Intuit,INTU
454,Intuitive Surgical,ISRG
455,Invesco,IVZ
456,Invitation Homes,INVH
457,Ionis Pharmaceuticals,IONS
458,IPG Photonics,IPGP
459,IQVIA,IQV
460,Hewlett Packard Enterprise,HPE
461,Hexcel,HXL
462,Highwoods Properties,HIW
463,Hill-Rom,HRC
464,Jazz Pharmaceuticals,JAZZ
465,J. B. Hunt,JBHT
466,JBG Smith,JBGS
467,Jefferies Financial Group,JEF
468,JetBlue,JBLU
469,Johnson & Johnson,JNJ
470,Johnson Controls,JCI
471,JLL,JLL
472,JPMorgan Chase,JPM
473,Juniper Networks,JNPR
474,Kansas City Southern,KSU
475,Kar Auction Services,KAR
476,Kellogg's,K
477,Keurig Dr Pepper,KDP
478,Keycorp,KEY
479,Keysight Technologies,KEYS
480,Kilroy Realty,KRC
481,Kimberly Clark,KMB
482,Kimco Realty,KIM
483,Kinder Morgan,KMI
484,Kirby Corporation,KEX
485,KLA Corporation,KLAC
486,Knight-Swift,KNX
487,Kohl's,KSS
488,Kosmos Energy,KOS
489,Kroger,KR
490,L Brands,LB
491,L3Harris Technologies,LHX
492,LabCorp,LH
493,Lam Research,LRCX
494,Lamar Advertising,LAMR
495,Lamb Weston,LW
496,Landstar System,LSTR
497,Las Vegas Sands,LVS
498,Lazard,LAZ
499,Lear Corporation,LEA
500,Legg Mason,LM
501,Leggett & Platt,LEG
502,Leidos Holdings,LDOS
503,Lennar (Class A),LEN
504,Lennar (Class B),LEN.B
505,Lennox International,LII
506,Liberty Broadband (Series A),LBRDA
507,Liberty Broadband (Series C),LBRDK
508,Liberty Formula 1 (Series A),FWONA
509,Iron Mountain,IRM
510,ITT Inc.,ITT
511,Jabil,JBL
512,Jacobs Engineering Group,JEC
513,Eli Lilly and Company,LLY
514,Lincoln Electric,LECO
515,Lincoln National Corporation,LNC
516,Lionsgate (Class A),LGF.A
517,Lionsgate (Class B),LGF.B
518,Littelfuse,LFUS
519,Live Nation Entertainment,LYV
520,LKQ,LKQ
521,Lockheed Martin,LMT
522,Loews Corporation,L
523,Lowe's,LOW
524,LPL Financial,LPLA
525,Lululemon Athletica,LULU
526,Lumen Technologies,LUMN
527,Lyft,LYFT
528,LyondellBasell,LYB
529,M&T Bank,MTB
530,Macerich,MAC
531,Macquarie Infrastructure Corporation,MIC
532,Macy's,M
533,Madison Square Garden,MSG
534,Manhattan Associates,MANH
535,ManpowerGroup,MAN
536,Marathon Oil,MRO
537,Marathon Petroleum,MPC
538,Markel Corporation,MKL
539,MarketAxess,MKTX
540,Marriott International,MAR
541,Marsh & McLennan Companies,MMC
542,Martin Marietta,MLM
543,Marvell Technology,MRVL
544,Masco,MAS
545,Masimo,MASI
546,Mastercard,MA
547,Match Group,MTCH
548,Mattel,MAT
549,Maxim Integrated,MXIM
550,McCormick & Company,MKC
551,McDonald's,MCD
552,McKesson,MCK
553,MDU Resources,MDU
554,Medical Properties Trust,MPW
555,Mednax,MD
556,Medtronic,MDT
557,Merck & Co,MRK
558,Liberty Formula 1 (Series C),FWONK
559,Liberty Property Trust,LPT
560,Liberty Sirius XM (Series A),LSXMA
561,Liberty Sirius XM (Series C),LSXMK
562,Life Storage,LSI
563,Capri Holdings,CPRI
564,The Michaels Companies,MIK
565,Microchip Technology,MCHP
566,Micron Technology,MU
567,Microsoft,MSFT
568,Mid-America Apartment Communities,MAA
569,Middleby Corporation,MIDD
570,MKS Instruments,MKSI
571,Mohawk Industries,MHK
572,Molina Healthcare,MOH
573,Molson Coors Brewing,TAP
574,Mondelez International,MDLZ
575,Monolithic Power Systems,MPWR
576,Monster Beverage,MNST
577,Moody's Corporation,MCO
578,Morgan Stanley,MS
579,"Morningstar, Inc.",MORN
580,The Mosaic Company,MOS
581,Motorola Solutions,MSI
582,MSC Industrial Direct,MSM
583,MSCI,MSCI
584,Murphy Oil,MUR
585,Mylan,MYL
586,Nabors Industries,NBR
587,"Nasdaq, Inc.",NDAQ
588,National Fuel Gas,NFG
589,National Instruments,NATI
590,National Oilwell Varco,NOV
591,National Retail Properties,NNN
592,Navient Corporation,NAVI
593,NCR Corporation,NCR
594,Nektar Therapeutics,NKTR
595,Netapp,NTAP
596,Netflix,NFLX
597,Neurocrine Biosciences,NBIX
598,New Residential Invt,NRZ
599,New York Community Bank,NYCB
600,Newell Brands,NWL
601,Newmarket Corporation,NEU
602,Newmont Mining,NEM
603,News Corp (Class A),NWSA
604,News Corp (Class B),NWS
605,Mercury General,MCY
606,Metlife,MET
607,Mettler Toledo,MTD
608,MFA Financial,MFA
609,MGM Resorts International,MGM
610,Nordstrom,JWN
611,Norfolk Southern Railway,NSC
612,Northern Trust,NTRS
613,Northrop Grumman,NOC
614,NortonLifeLock,NLOK
615,Norwegian Cruise Line,NCLH
616,NRG Energy,NRG
617,Nu Skin Enterprises,NUS
618,Nuance Communications,NUAN
619,Nucor,NUE
620,Nutanix,NTNX
621,Nvent Electric,NVT
622,Nvidia,NVDA
623,"NVR, Inc.",NVR
624,NXP Semiconductors,NXPI
625,O'Reilly Auto Parts,ORLY
626,Occidental Petroleum,OXY
627,Oklahoma Gas & Electric,OGE
628,"Okta, Inc.",OKTA
629,Old Dominion Freight Line,ODFL
630,Old Republic International,ORI
631,Olin Corporation,OLN
632,Omega Healthcare Investors,OHI
